,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
4222,4223,LODE,Comstock Mining Inc.,Basic Materials,Gold,USA,16200000.0,,,,81.0,1.9,54.0,,,,-0.14,38.2,,40.3,,-64.0,53.4,64.5,85260000.0,73900000.0,14.36,0.0,8.5,-2.09,2.01,1.77,-30.5,-89.5,-39.8,2.6,2.6,0.96,1.0,,,,0.0,5.73,-9.52,45.37,-20.8,42.86,0.25,0.01,5.42,7.22,2.79,-7.08,4.08,-31.65,18.75,-42.07,58.2,47.37,-4.28,4.47,,839540.0,0.76,0.19,0.0,638875.0,May 09/b,,7/21/2010
4223,4224,LOGC,"LogicBio Therapeutics, Inc.",Healthcare,Biotechnology,USA,278850000.0,19.32,,,,3.99,3.84,,,,0.67,-985.3,-12.1,,,,87.4,,21450000.0,15260000.0,26.97,,62.4,-0.29,0.58,3.12,,,,19.7,19.7,0.0,0.0,,,,-14.98,-18.03,31.58,43.33,,25.0,,1.29,12.58,9.16,-3.83,-6.65,12.73,-35.23,15.53,-35.23,94.03,45.73,-0.46,5.32,1.6,28230.0,8.17,13.0,4.84,204871.0,Aug 13/b,22.25,10/19/2018
4224,4225,LOGI,Logitech International S.A.,Technology,Computer Peripherals,Switzerland,6740000000000.0,25.99,17.48,2.87,2.42,5.6,,25.01,1.74,0.0,1.53,11.9,8.7,18.5,9.04,6.8,23.0,5.4,169430000.0,166580000.0,6.7,-0.95,32.5,-14.66,2.79,23.41,12.7,23.5,21.2,1.9,1.5,0.0,0.0,37.2,9.4,9.2,2.32,8.54,1.07,29.22,-8.47,27.11,1.22,0.77,1.15,1.22,5.29,3.06,5.88,-5.52,11.37,-20.42,36.82,60.36,-0.53,2.8,1.7,198260.0,1.33,39.76,2.26,261882.0,Jul 29/a,47.4,3/31/1997
4225,4226,LOGM,"LogMeIn, Inc.",Technology,Application Software,USA,3640000000000.0,118.65,15.16,51.59,2.95,1.29,,13.44,1.76,180.8,0.62,405.3,-2.68,44.7,2.3,48.6,-131.4,10.2,49380000.0,48510000.0,1.8,-9.19,,-4.47,5.43,4.25,0.9,1.2,2.4,0.5,0.5,0.07,0.07,76.0,3.0,2.9,3.47,1.18,-8.01,-9.17,-26.32,-9.67,1.06,1.7,2.01,2.39,3.43,-3.08,-10.85,-13.14,8.35,-34.52,8.35,53.13,0.3,0.59,2.9,620240.0,1.82,73.68,0.89,1113080.0,Jul 25/a,93.89,7/1/2009
4226,4227,LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,Industrial Goods,General Building Materials,Argentina,1390000000000.0,25.55,10.17,8.69,,7.12,,,,,0.46,122.9,47.4,,2.94,,51.1,3.6,119210000.0,58360000.0,0.07,,39.1,,0.43,0.61,,,,,,,,,,,3.54,17.59,6.85,14.04,7.44,5.12,,0.54,4.11,5.06,6.64,12.69,10.78,-6.33,37.49,-12.95,83.96,63.62,1.56,0.35,2.2,413410.0,1.37,11.7,1.92,562436.0,Aug 08/a,13.46,10/26/2017
4227,4228,LONE,Lonestar Resources US Inc.,Basic Materials,Independent Oil & Gas,USA,58810000.0,,4.8,,0.29,0.34,15.48,0.7,,,-1.33,119.2,72.0,-26.4,,20.4,-227.2,10.9,25680000.0,22650000.0,2.7,,58.4,-0.45,4.73,6.23,-4.5,-17.6,5.3,0.4,0.4,2.72,2.72,85.8,8.0,-14.9,-16.73,-20.21,-42.89,-38.44,-73.98,-37.26,2.55,0.26,8.11,10.46,-7.25,-27.95,-56.25,-49.56,18.65,-79.63,18.65,39.45,-3.78,0.85,2.0,172160.0,1.01,2.29,-2.97,173071.0,Aug 12/a,6.5,7/1/2008
4228,4229,LOOP,"Loop Industries, Inc.",Financial,Property Management,USA,413600000.0,,,,,123.63,71.31,,,,-0.52,-20.7,-2.5,,,,-109.2,,41820000.0,16629999.999999998,10.84,,4.6,29.92,10.19,26.6,-168.5,-365.5,,0.8,0.8,0.38,2.58,,,,-1.0,22.86,24.87,28.27,-10.01,27.28,0.26,0.61,6.02,6.87,12.18,26.38,14.08,-2.66,56.21,-20.56,73.81,65.69,0.41,0.0,2.0,63720.0,0.73,9.89,0.41,46579.0,Aug 06/a,12.0,11/20/2017
4229,4230,LOPE,"Grand Canyon Education, Inc.",Services,Education & Training Services,USA,5650000000000.0,24.76,20.3,,7.37,4.38,55.03,37.26,,0.0,4.73,18.5,10.12,19.7,,7.2,-0.3,-28.4,48300000.0,47680000.0,1.3,-23.5,99.4,-1.31,2.99,4.43,16.3,19.3,15.7,1.6,1.6,0.16,0.2,86.4,31.3,29.8,-2.68,-1.9,2.19,23.35,3.96,21.72,0.83,2.42,2.25,2.17,-4.58,-2.24,3.69,-9.69,6.8,-10.05,29.06,36.31,-0.35,0.46,,322150.0,4.28,117.02,0.11,1321558.0,Aug 06/a,139.5,11/20/2008
4230,4231,LOR,Lazard World Dividend & Income Fund Inc.,Financial,Closed-End Fund - Foreign,USA,68460000.0,,,,12.61,1.0,,,7.04,,-1.88,,,,,,,9.4,6880000.0,,0.87,,59.23,,,,,,,,,,,,,,0.61,6.42,0.3,21.49,-4.23,16.78,,0.09,0.61,0.78,2.98,2.55,4.23,-1.68,7.8,-6.4,22.84,64.11,0.1,0.2,,16160.0,2.16,9.95,0.3,34060.0,-,,6/28/2005
4231,4232,LORL,Loral Space & Communications Inc.,Technology,Communication Equipment,USA,736790000.0,23.6,,,,3.24,2.87,,,0.0,1.46,-93.3,,-12.2,,,797.0,,21350000.0,11750000.0,0.81,0.0,97.0,-0.14,1.29,3.68,12.0,14.3,,77.2,77.2,0.0,0.0,,,,-0.78,0.47,-4.27,-6.53,-8.34,-7.36,1.01,0.78,2.73,2.2,0.29,-3.95,-12.52,-11.06,3.54,-28.24,3.54,47.08,0.32,0.06,,41110.0,2.23,34.51,0.38,90555.0,Aug 08/a,89.0,7/27/2005
4232,4233,LOUP,Innovator Loup Frontier Tech ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,8.44,0.16,20.43,,18.66,,0.29,0.28,0.6,4.48,0.82,2.37,-8.86,10.69,-10.07,26.72,57.96,0.32,0.77,,1910.0,0.24,24.1,1.08,452.0,-,,1/27/2016
4233,4234,LOV,Spark Networks SE,Technology,Internet Service Providers,USA,147840000.0,,13.73,,1.24,6.97,10.87,,,,-0.26,47.6,72.29,,,,,-53.7,12550000.0,,18.57,,13.5,9.29,,0.92,,,-6.3,0.5,0.5,0.43,0.62,33.5,,,-1.26,-5.38,-25.91,39.57,7.83,49.49,,0.7,5.84,6.44,3.06,-7.3,5.48,-20.24,18.15,-33.21,49.68,48.19,2.78,0.28,1.5,34710.0,0.34,11.78,3.06,11994.0,Apr 29/a,18.25,2/14/2006
4234,4235,LOVE,The Lovesac Company,Consumer Goods,Home Furnishings & Fixtures,USA,420380000.0,,,,2.33,6.09,11.78,,,,-4.61,-531.5,73.4,,45.0,,28.9,53.0,13530000.0,10260000.0,28.3,,60.9,1.33,9.14,4.48,,,-9.0,2.8,1.7,0.0,0.0,54.0,,,-0.89,-13.43,11.72,31.71,29.51,35.44,,2.16,5.61,7.12,-5.7,-12.37,14.83,-33.6,14.23,-33.6,88.76,43.6,5.32,1.94,1.4,209310.0,1.43,31.07,7.36,293725.0,Jun 10/b,44.8,6/27/2018
4235,4236,LOW,"Lowe's Companies, Inc.",Services,Home Improvement Stores,USA,80320000000000.0,34.52,15.3,2.47,1.12,24.79,,35.57,2.18,63.2,2.92,-30.9,18.36,5.9,13.97,5.9,9.7,2.2,796000000.0,781540000.0,0.17,0.94,79.4,0.27,1.27,1.99,6.2,52.4,14.8,1.1,0.2,5.11,5.42,31.4,5.5,3.3,0.07,7.49,-7.82,9.85,4.78,9.26,1.34,2.41,1.83,1.85,3.14,-2.53,-0.65,-14.65,10.16,-14.65,19.07,52.94,1.53,0.03,2.0,5000000.0,0.86,100.91,1.56,4298887.0,May 22/b,113.83,7/1/1985
4236,4237,LOWC,SPDR MSCI ACWI Low Carbon Target ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,4.46,1.22,17.02,0.84,15.98,,0.57,0.18,0.18,2.21,1.75,4.75,-1.05,6.71,-1.18,21.18,59.75,0.12,0.28,,2009.9999999999998,0.33,91.72,0.4,674.0,-,,11/26/2014
4237,4238,LOXO,"Loxo Oncology, Inc.",Healthcare,Biotechnology,USA,,,,,,,,,,,-2.09,59.3,-56.5,,37.0,,,,30750000.0,27360000.0,4.12,,99.7,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,-,225.0,-
4238,4239,LPCN,Lipocine Inc.,Healthcare,Drugs - Generic,USA,42900000.0,,4.68,,,3.61,2.45,,,,-0.56,-40.7,173.7,17.6,,,-7.8,,22000000.0,20320000.0,3.4,0.0,13.3,35.28,0.63,0.93,-53.0,-102.2,-57.8,5.4,5.4,0.49,0.75,,,,6.56,33.56,-15.58,78.9,46.62,50.0,0.97,0.14,8.81,8.3,16.87,12.02,18.29,-4.18,39.29,-26.14,87.5,63.92,-2.99,1.01,1.7,137870.0,1.68,1.95,-2.01,241492.0,Aug 07/a,5.67,10/22/2013
4239,4240,LPG,Dorian LPG Ltd.,Services,Shipping,USA,488790000.0,,11.49,,3.09,0.54,15.87,54.92,,,-0.93,-147.6,42.99,-65.4,15.0,28.6,-353.1,-11.5,54190000.0,39230000.0,4.6,-13.75,57.3,-4.63,3.7,5.46,-3.1,-5.5,-0.5,1.0,1.0,0.69,0.76,98.8,-5.1,-32.2,1.92,21.24,40.5,56.87,13.32,54.72,1.18,0.36,2.94,3.87,9.47,12.67,27.71,-3.11,36.46,-3.11,71.48,63.61,1.35,0.45,2.2,265660.0,3.23,9.02,1.81,825975.0,May 23/b,10.28,5/8/2014
4240,4241,LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,690690000.0,2.93,3.44,0.28,0.65,0.57,15.52,1.49,,0.0,0.99,-39.1,14.67,9.9,10.49,10.7,-111.4,-19.6,238170000.0,178540000.0,2.6,0.0,,-2.23,16.83,5.7,9.7,21.2,16.0,0.8,,0.91,0.91,60.4,29.3,21.7,3.57,7.81,-6.15,-22.04,-69.25,-19.89,1.49,0.18,5.99,6.28,9.5,-3.78,-32.03,-20.77,20.83,-72.2,20.83,56.34,-1.36,0.68,2.9,5270000.0,1.78,2.9,-0.68,9290958.0,Jul 31/a,4.95,12/15/2011
4241,4242,LPL,"LG Display Co., Ltd.",Technology,Diversified Electronics,South Korea,5510000000000.0,,29.81,,0.26,0.46,2.66,,3.02,,-0.25,-111.5,157.8,-20.0,9.4,-2.1,-2.5,3.6,710350000.0,444240000.0,51.1,0.0,3.1,-1.68,0.82,9.51,-0.6,-1.5,-0.3,1.0,0.7,0.65,0.77,12.9,-0.1,-0.8,3.61,12.32,-10.4,-7.85,-4.2,-5.37,0.89,0.19,1.21,1.4,6.3,1.63,-6.2,-20.19,15.5,-25.41,15.5,57.2,0.39,0.92,4.0,383380.0,0.53,7.75,1.31,205394.0,Jun 04,7.6,7/22/2004
4242,4243,LPLA,LPL Financial Holdings Inc.,Financial,Investment Brokerage - National,USA,6890000000000.0,14.46,10.65,0.85,1.3,6.83,4.98,16.72,1.23,17.3,5.64,94.2,7.53,23.1,16.96,4.6,77.7,10.5,84490000.0,82460000.0,0.9,-21.47,96.4,-0.33,1.64,2.07,9.3,50.5,15.4,,,2.35,2.64,98.8,15.1,9.4,1.09,-1.25,17.11,35.97,25.11,33.55,1.32,2.0,2.33,2.31,-0.7,1.11,16.13,-5.25,12.19,-5.25,56.77,52.69,0.67,1.06,2.4,655140.0,0.96,81.57,1.73,629507.0,Jul 25/a,93.0,11/18/2010
4243,4244,LPSN,"LivePerson, Inc.",Technology,Business Software & Services,USA,1790000000000.0,,301.51,,6.93,9.02,7.52,,,,-0.67,-15.2,212.5,-45.9,30.0,7.0,-450.3,14.1,63780000.0,59030000.0,1.2,-13.29,84.5,6.04,6.08,5.83,-12.4,-23.7,-14.4,2.8,2.8,0.9,0.9,74.0,-14.8,-15.8,-0.39,-0.36,-3.38,48.99,36.12,48.67,1.08,0.94,3.31,3.51,2.05,-0.86,13.27,-9.29,8.39,-9.29,65.18,51.81,1.78,-0.11,1.8,615470.0,1.92,28.04,1.67,1169184.0,Aug 01/a,35.35,4/7/2000
4244,4245,LPT,Liberty Property Trust,Financial,REIT - Office,USA,7400000000000.0,47.79,35.41,9.56,10.73,2.22,76.37,,3.28,,1.05,-36.8,2.76,9.0,5.0,1.8,5.9,-8.6,147890000.0,147270000.0,0.7,-3.89,94.8,-1.1,0.74,1.43,,,0.8,,,0.94,0.94,61.9,,,-1.59,6.06,3.35,19.66,13.39,19.48,0.8,0.74,1.62,1.46,0.85,2.34,8.87,-2.66,6.88,-2.66,25.67,53.51,1.05,-0.78,2.6,769070.0,1.74,50.04,0.26,1320322.0,Jul 30/b,50.5,6/17/1994
4245,4246,LPTH,"LightPath Technologies, Inc.",Industrial Goods,Industrial Electrical Equipment,USA,22600000.0,,15.17,,0.68,0.67,4.91,,,,-0.07,-89.9,200.0,16.6,,22.5,-130.3,-7.1,24840000.0,20650000.0,4.6,6.85,27.0,-0.34,2.19,2.92,-3.7,-4.9,2.6,3.5,2.1,0.17,0.19,36.6,-2.0,-5.2,0.0,-10.34,-39.33,-40.13,-57.67,-38.93,0.12,0.06,6.35,6.33,-2.81,-21.54,-42.56,-44.17,9.64,-66.91,9.64,37.07,1.11,3.0,2.0,154400.0,1.67,0.91,4.14,251790.0,Aug 08/a,2.5,2/28/1996
4246,4247,LPTX,"Leap Therapeutics, Inc.",Healthcare,Biotechnology,USA,39790000.0,,,,,2.01,1.83,,,,-1.32,63.7,-1.9,,-2.49,,45.4,,22230000.0,20000000.0,13.26,344.82,40.2,9.08,10.05,7.65,-80.5,-190.9,,2.8,2.8,0.0,0.0,,,,6.55,21.77,-4.28,-6.77,-78.94,-10.5,,0.1,6.41,6.24,17.97,13.73,-40.4,0.0,32.59,-80.7,32.59,70.09,3.47,-0.28,1.5,262580.0,1.3,1.79,3.18,345882.0,May 10,9.0,1/25/2017
4247,4248,LPX,Louisiana-Pacific Corporation,Services,Building Materials Wholesale,USA,3430000000000.0,11.4,11.61,2.28,1.26,2.7,9.51,24.48,2.06,22.8,2.3,8.5,75.12,17.6,5.0,6.3,-68.4,-15.8,131000000.0,122860000.0,0.5,-0.71,,-0.49,7.87,4.09,13.4,20.2,19.7,3.6,2.3,0.27,0.28,23.8,16.0,12.2,3.68,15.2,7.55,19.84,-2.74,18.0,1.43,0.54,1.65,2.07,6.21,7.52,8.3,-0.11,17.26,-18.47,28.59,68.95,0.88,0.08,1.8,2360000.0,1.55,26.22,0.96,3625061.0,Aug 06/b,30.4,1/4/1982
4248,4249,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,3.17,4.46,11.06,8.47,10.24,,0.52,0.39,0.37,1.79,3.33,7.23,0.16,5.14,0.16,11.79,75.72,0.21,0.05,,10450000.0,0.93,124.37,0.26,9512064.0,-,,7/30/2002
4249,4250,LQDA,"Liquidia Technologies, Inc.",Healthcare,Biotechnology,USA,147600000.0,,,,82.0,3.43,2.43,,,,-2.51,-85.0,-0.8,,,,50.7,,18450000.0,16050000.0,1.1,,61.3,39.8,2.24,3.27,-78.3,-222.5,-110.3,5.6,5.6,0.3,0.35,94.7,,,-6.21,-18.62,-29.7,-67.74,,-63.07,,0.63,8.82,6.61,-9.14,-12.79,-51.97,-23.44,5.19,-79.2,5.19,31.72,3.63,-2.53,,110090.0,8.99,8.0,1.01,880769.0,Aug 01/b,37.25,7/26/2018
4250,4251,LQDH,iShares Interest Rate Hedged Corporate Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,1.36,0.61,3.45,0.22,3.7,,0.28,0.2,0.21,1.08,0.65,0.64,-0.65,1.93,-1.92,4.27,61.85,0.11,0.18,,30180.0,0.43,94.02,0.29,33970.0,-,,6/17/2014
4251,4252,LQDI,iShares Inflation Hedged Corporate Bond ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,2.98,7.08,3.47,,9.15,,0.14,0.15,0.14,2.31,2.89,4.76,-0.06,4.76,-0.06,9.84,66.48,0.4,-0.38,,470.0,10.37,26.08,0.02,4001.0,-,,5/15/2018
4252,4253,LQDT,"Liquidity Services, Inc.",Services,Catalog & Mail Order Houses,USA,202010000.0,,,,0.94,1.62,3.16,,,,-0.6,44.3,55.6,-20.6,,-15.0,25.2,-5.5,33170000.0,26990000.0,1.3,-4.18,67.4,4.95,2.09,4.82,-7.2,-11.2,-17.6,1.5,1.3,0.0,0.0,56.3,-9.2,-6.6,0.0,5.09,-21.01,-2.56,-9.1,-1.3,1.21,0.23,2.89,3.83,3.74,-2.02,-8.32,-11.74,10.93,-33.52,17.79,52.68,0.0,1.0,,117150.0,3.79,6.09,1.0,421364.0,Aug 07/b,9.0,2/27/2006
4253,4254,LRAD,LRAD Corporation,Technology,Scientific & Technical Instruments,USA,107200000.0,27.42,21.93,1.83,3.44,3.16,9.93,,,,0.12,436.5,36.36,19.3,15.0,9.0,157.5,29.1,32590000.000000004,31770000.0,1.8,-2.0,52.9,-2.05,0.16,0.81,-0.7,-0.9,8.6,5.6,3.8,0.0,0.01,48.2,-1.0,-1.0,-0.9,-1.5,15.44,40.6,30.56,30.56,0.59,0.17,5.91,4.98,2.39,3.95,16.02,-10.84,13.45,-10.84,58.17,54.32,7.87,-2.87,,62000.0,3.37,3.29,4.78,200062.0,Aug 06/a,4.5,5/9/1997
4254,4255,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,28400000000000.0,12.19,12.78,,2.73,5.37,4.62,13.52,2.34,22.3,15.41,78.2,2.2,90.5,-0.06,25.2,-19.9,-15.7,151200000.0,149220000.0,0.4,-5.74,90.7,-2.99,5.62,4.38,22.7,46.7,33.3,3.4,2.8,0.73,0.91,45.7,26.9,25.6,2.63,5.16,4.93,40.94,10.62,37.95,1.6,5.26,2.12,2.62,3.64,-0.83,13.46,-10.34,9.82,-10.34,53.16,53.54,-0.98,1.91,2.2,1910000.0,1.22,187.84,0.92,2336720.0,Jul 24/a,217.47,3/26/1990
4255,4256,LRET,UBS ETRACS Monthly Pay 2xLeveraged MSCI US REIT Index ETN,Financial,Exchange Traded Fund,USA,,,,,,,,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.51,2.42,-0.19,30.39,17.91,25.56,,0.52,0.48,1.23,-2.33,-0.34,5.99,-7.57,8.83,-7.57,39.55,45.64,0.0,1.22,,7890.0,0.0,26.31,1.22,31.0,-,,5/6/2015
4256,4257,LRGE,ClearBridge Large Cap Growth ESG ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,4.68,5.15,17.78,12.9,21.64,,0.35,0.81,0.85,2.32,1.56,7.34,-1.89,8.87,-1.89,28.74,57.39,-0.38,0.49,,24070.0,0.43,34.84,0.11,10301.0,-,,5/31/2017
4257,4258,LRGF,iShares Edge MSCI Multifactor USA ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,6.08,2.35,13.15,-0.31,14.0,,0.28,0.62,0.73,2.39,2.15,2.58,-1.04,7.7,-7.19,19.98,60.59,0.67,0.25,,244630.0,0.82,31.76,0.92,200161.0,-,,4/30/2015
4258,4259,LRN,K12 Inc.,Services,Education & Training Services,USA,1190000000000.0,29.04,34.56,1.94,1.19,1.9,5.07,9.98,,0.0,1.05,23.5,4.76,0.3,15.0,1.6,37.9,8.8,39010000.0,37510000.0,2.0,-28.04,89.6,4.75,2.84,3.57,5.5,7.2,4.3,3.5,3.4,0.01,0.05,35.4,5.3,4.3,3.4,-0.88,-10.9,27.19,81.66,22.67,0.05,0.88,3.21,2.97,-0.61,-2.88,11.72,-17.81,7.84,-18.76,89.23,50.78,2.88,0.17,1.8,298920.0,2.3,30.41,3.05,670062.0,Jul 23/a,40.0,12/13/2007
4259,4260,LSBK,"Lake Shore Bancorp, Inc.",Financial,Savings & Loans,USA,89700000.0,22.86,,,4.06,1.11,2.74,21.36,3.21,64.2,0.65,10.5,,0.1,,3.0,-2.1,11.8,6000000.0,2120000.0,1.5,,12.4,-0.67,0.03,0.17,0.7,5.0,16.2,,,0.3,0.3,,80.9,17.9,0.17,-0.93,-5.38,-5.97,-10.98,-0.73,0.07,0.12,0.24,0.54,-0.2,-1.37,-6.57,-6.62,2.89,-14.08,2.89,46.46,0.0,-0.33,,3560.0,0.09,14.95,-0.33,309.0,Jul 25,,4/5/2006
4260,4261,LSCC,Lattice Semiconductor Corporation,Technology,Semiconductor - Specialized,USA,1850000000000.0,,23.65,,4.65,6.79,14.2,30.31,,,-0.11,63.8,29.35,-25.3,20.0,3.7,214.6,-0.5,126950000.0,126950000.0,0.4,-14.02,92.4,1.47,3.55,2.53,-2.1,-5.0,-1.1,4.0,3.1,0.8,0.83,55.4,2.6,-3.3,1.39,18.14,22.3,114.24,136.08,110.84,1.32,0.56,3.79,3.89,3.43,8.52,48.5,-5.07,31.92,-5.07,171.04,57.2,3.18,0.78,1.7,1780000.0,1.69,14.59,3.99,2973004.0,Jul 30/a,15.07,3/26/1990
4261,4262,LSI,"Life Storage, Inc.",Financial,REIT - Industrial,USA,4420000000000.0,21.4,29.13,4.28,7.97,2.16,496.13,416.56,4.21,89.8,4.44,113.9,3.52,14.5,5.0,15.0,1.4,2.6,46440000.0,45900000.0,0.7,-3.16,97.9,-1.29,4.28,4.73,5.3,10.2,5.8,,,0.88,0.88,66.8,39.2,37.4,-2.03,-0.61,-2.25,1.29,-2.15,2.25,0.35,1.52,1.6,1.63,-2.32,-1.18,-0.8,-4.27,4.5,-7.61,6.93,37.83,0.43,-0.02,3.2,415270.0,1.48,95.08,0.41,604462.0,Jul 31/a,98.33,6/21/1995
4262,4263,LSST,Natixis Loomis Sayles Short Duration Income ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,0.72,1.67,1.98,,2.52,,0.03,0.05,0.05,0.31,0.67,1.5,-0.24,1.08,-0.24,2.81,63.77,-0.04,0.08,,1300.0,1.34,25.22,0.04,1696.0,-,,12/28/2017
4263,4264,LSTR,"Landstar System, Inc.",Services,Trucking,USA,4340000000000.0,19.41,16.31,5.18,0.94,5.96,14.24,13.97,0.61,10.1,5.57,36.6,4.5,16.8,3.75,11.6,40.2,-1.4,40160000.0,39760000.0,1.0,-11.75,,1.98,8.68,8.44,19.2,37.3,24.7,2.0,2.0,0.1,0.22,14.6,7.3,5.7,3.4,11.28,-1.28,13.83,-1.6,12.88,1.23,2.49,2.14,2.27,6.1,2.38,1.57,-10.18,13.71,-16.09,19.68,62.14,1.48,1.09,2.9,408670.0,1.82,107.99,2.58,741248.0,Jul 24/a,112.25,3/5/1993
4264,4265,LSXMA,The Liberty SiriusXM Group,Services,Broadcasting - Radio,USA,21710000000000.0,22.25,15.7,,3.54,1.11,221.52,16.12,,0.0,1.7,201.2,19.15,,-5.0,,-68.1,26.8,574170000.0,566270000.0,4.04,,89.6,-0.09,0.7,7.21,1.8,5.0,7.5,0.3,0.3,0.76,0.76,58.9,24.9,8.7,1.23,3.17,-0.97,3.67,-14.61,2.74,,0.65,1.5,1.74,3.18,-0.42,-4.62,-7.71,7.05,-22.15,8.28,55.64,0.93,0.21,1.7,546680.0,1.52,37.81,1.15,829734.0,Aug 08/b,54.67,4/18/2016
4265,4266,LSXMB,The Liberty SiriusXM Group,Services,Broadcasting - Radio,USA,363200000.0,22.93,,,0.06,1.08,,,,,1.61,,,,,,-69.5,26.8,9820000.0,,96.65,,0.94,,,0.16,,,,,,,,,,,1.41,-4.57,-12.17,-1.28,,1.23,,1.12,1.59,0.93,-4.1,-12.31,-6.08,-25.95,4.29,-25.95,4.29,39.84,0.0,0.11,,1340.0,0.1,36.98,0.11,139.0,-,,4/21/2016
4266,4267,LSXMK,The Liberty SiriusXM Group,Services,Broadcasting - Radio,USA,7860000000000.0,23.55,18.71,,1.28,1.11,,,,,1.61,1.0,0.0,,-5.0,,-69.5,26.8,206990000.0,,9.99,,82.53,,,6.22,,,,,,,,,,,0.93,3.18,-0.68,3.94,-14.84,2.7,,0.68,1.59,1.75,3.22,-0.38,-4.49,-7.12,7.2,-21.79,9.02,55.48,1.09,0.13,1.5,714800.0,1.97,37.98,1.23,1393134.0,Aug 08/b,52.5,4/18/2016
4267,4268,LTBR,Lightbridge Corporation,Basic Materials,Synthetics,USA,23710000.0,,,,,0.92,1.01,,,,-0.49,-0.5,,16.6,,,69.5,,35690000.0,35690000.0,0.67,0.0,5.0,1.94,3.99,4.52,-53.4,-55.4,,35.0,35.0,0.0,0.0,,,,2.18,-14.79,20.63,20.76,-33.91,21.87,2.22,0.06,6.22,7.88,-4.07,-20.28,-14.06,-40.7,4.6,-40.7,35.55,38.66,-3.93,6.37,,315420.0,0.16,0.66,2.18,51984.0,Aug 08/b,10.5,11/13/2000
4268,4269,LTC,"LTC Properties, Inc.",Financial,REIT - Healthcare Facilities,USA,1780000000000.0,11.73,20.99,2.93,10.97,2.32,266.4,66.11,4.99,58.3,3.89,76.5,-3.2,20.0,4.0,9.9,-0.7,-14.1,39090000.0,39050000.0,1.7,-0.42,79.7,0.95,2.24,4.03,10.2,19.2,5.5,,,0.87,0.87,97.3,49.9,94.9,-1.79,2.17,-0.31,9.73,7.41,9.55,0.43,0.81,2.07,1.71,0.37,0.87,2.2,-3.83,6.63,-5.13,13.84,50.93,1.56,0.11,3.2,217250.0,5.32,45.66,1.67,1080571.0,Aug 08/a,43.81,8/25/1992
4269,4270,LTHM,Livent Corporation,Basic Materials,Industrial Metals & Minerals,USA,1030000000000.0,9.08,9.38,0.92,2.35,1.99,57.82,332.03,,0.0,0.76,132.8,25.3,,9.84,,-48.8,-4.4,148740000.0,145230000.0,0.7,,40.08,,12.66,7.43,18.1,22.9,24.3,3.5,2.4,0.1,0.1,42.5,30.5,25.3,-0.72,8.29,-43.65,-48.78,,-49.86,,0.38,4.46,6.0,0.8,-15.95,-45.3,-43.65,11.25,-65.23,11.25,42.49,-1.98,0.14,2.6,2480000.0,1.55,6.92,-1.84,3800339.0,Aug 06/a,10.77,10/11/2018
4270,4271,LTL,ProShares Ultra Telecommunications,Financial,Exchange Traded Fund,USA,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.63,-1.56,1.14,-2.85,-5.25,25.85,,0.69,0.74,0.44,1.13,-2.1,3.56,-11.41,10.37,-19.37,38.75,47.88,0.0,0.1,,450.0,0.0,40.75,0.1,1.0,-,,5/22/2008
